0,1,2,3,4,5,6,7,8
96.0,88.0,115.2,0,243,3020,106,0,0
96.0,104.0,118.4,0,247,3022,106,0,0
80.0,104.0,121.60000000000001,0,241,3003,106,6,1
112.0,104.0,121.60000000000001,0,245,3003,106,0,1
80.0,120.0,121.60000000000001,0,242,3003,9,7,3
96.0,120.0,121.60000000000001,0,244,3003,106,8,2
112.0,120.0,121.60000000000001,0,246,3003,9,8,3
80.0,104.0,124.80000000000001,0,248,3020,106,0,0
112.0,104.0,124.80000000000001,0,249,3020,106,0,0
80.0,120.0,128.0,0,250,3022,106,0,0
112.0,120.0,128.0,0,251,3022,106,0,0
