0,1,2,3,4,5,6,7
72.0,160.0,35.2,0,102,3004,154,1
64.0,168.0,35.2,1,103,3005,154,1
96.0,168.0,35.2,1,104,3004,154,1
64.0,176.0,35.2,1,105,3024,154,1
96.0,176.0,35.2,1,106,3023,154,1
56.0,152.0,38.400000000000006,1,107,3024,154,1
72.0,152.0,38.400000000000006,1,108,3024,154,1
64.0,160.0,38.400000000000006,1,109,3024,154,1
56.0,152.0,41.6,1,110,3024,154,1
72.0,152.0,41.6,1,111,3024,154,1
64.0,160.0,41.6,1,112,3024,26,1
56.0,56.0,44.800000000000004,1,113,3004,154,1
72.0,56.0,44.800000000000004,1,114,3005,154,1
96.0,56.0,44.800000000000004,1,115,3004,154,1
56.0,64.0,44.800000000000004,0,116,3003,154,1
72.0,64.0,44.800000000000004,0,117,3004,154,1
96.0,64.0,44.800000000000004,0,118,3003,154,1
56.0,152.0,44.800000000000004,1,119,3004,154,1
96.0,152.0,44.800000000000004,1,120,3004,154,1
56.0,160.0,44.800000000000004,0,121,3003,154,1
72.0,160.0,44.800000000000004,1,122,3005,154,1
96.0,160.0,44.800000000000004,0,123,3003,154,1
96.0,48.0,48.0,1,124,3024,154,1
72.0,152.0,48.0,1,125,3024,154,1
64.0,48.0,51.2,1,126,3024,154,1
96.0,48.0,51.2,1,127,3024,154,1
64.0,48.0,54.400000000000006,0,128,3003,154,1
96.0,48.0,54.400000000000006,0,129,3003,154,1
56.0,56.0,54.400000000000006,1,130,3005,154,1
56.0,64.0,54.400000000000006,0,131,3004,154,1
64.0,64.0,54.400000000000006,0,132,3003,154,1
96.0,64.0,54.400000000000006,0,133,3003,154,1
56.0,152.0,54.400000000000006,1,134,3004,154,1
96.0,152.0,54.400000000000006,1,135,3004,154,1
56.0,160.0,54.400000000000006,0,136,3003,154,1
72.0,160.0,54.400000000000006,1,137,3005,154,1
96.0,160.0,54.400000000000006,0,138,3003,154,1
72.0,152.0,57.6,1,139,3024,154,1
72.0,152.0,60.800000000000004,1,140,3024,154,1
72.0,168.0,60.800000000000004,1,141,3024,154,1
64.0,48.0,64.0,0,142,3003,154,1
