brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end,source_file
263,2024-05-22 13:16:15,2024-05-22 13:16:45,3,0,2024-05-22 13:16:57,KPI_DATA_build_20240522_130513.csv
264,2024-05-22 13:16:57,2024-05-22 13:18:40,1,1,2024-05-22 13:18:51,KPI_DATA_build_20240522_130513.csv
265,2024-05-22 13:18:51,2024-05-22 13:23:22,2,3,2024-05-22 13:23:33,KPI_DATA_build_20240522_130513.csv
266,2024-05-22 13:23:33,2024-05-22 13:25:34,3,1,2024-05-22 13:25:46,KPI_DATA_build_20240522_130513.csv
267,2024-05-22 13:25:46,2024-05-22 13:27:05,1,1,2024-05-22 13:27:17,KPI_DATA_build_20240522_130513.csv
268,2024-05-22 13:27:17,2024-05-22 13:27:37,1,0,2024-05-22 13:27:48,KPI_DATA_build_20240522_130513.csv
269,2024-05-22 13:27:48,2024-05-22 13:29:24,1,1,2024-05-22 13:29:36,KPI_DATA_build_20240522_130513.csv
270,2024-05-22 13:29:36,2024-05-22 13:29:52,1,0,2024-05-22 13:30:04,KPI_DATA_build_20240522_130513.csv
271,2024-05-22 13:30:04,2024-05-22 13:31:49,2,1,2024-05-22 13:32:00,KPI_DATA_build_20240522_130513.csv
272,2024-05-22 13:32:00,2024-05-22 13:32:14,1,0,2024-05-22 13:32:26,KPI_DATA_build_20240522_130513.csv
273,2024-05-22 13:32:26,2024-05-22 13:34:21,2,1,2024-05-22 13:34:33,KPI_DATA_build_20240522_130513.csv
274,2024-05-22 13:34:33,2024-05-22 13:34:47,1,0,2024-05-22 13:35:01,KPI_DATA_build_20240522_130513.csv
275,2024-05-22 13:35:01,2024-05-22 13:39:38,4,3,2024-05-22 13:39:53,KPI_DATA_build_20240522_130513.csv
276,2024-05-22 13:39:53,2024-05-22 13:41:37,2,1,2024-05-22 13:41:49,KPI_DATA_build_20240522_130513.csv
277,2024-05-22 13:41:49,2024-05-22 13:43:40,3,1,2024-05-22 13:43:52,KPI_DATA_build_20240522_130513.csv
278,2024-05-22 13:43:52,2024-05-22 13:45:19,1,1,2024-05-22 13:45:33,KPI_DATA_build_20240522_130513.csv
279,2024-05-22 13:45:33,2024-05-22 13:46:55,1,1,2024-05-22 13:47:09,KPI_DATA_build_20240522_130513.csv
280,2024-05-22 13:47:09,2024-05-22 13:48:27,1,1,2024-05-22 13:48:40,KPI_DATA_build_20240522_130513.csv
281,2024-05-22 13:48:40,2024-05-22 13:50:30,2,1,2024-05-22 13:50:44,KPI_DATA_build_20240522_130513.csv
129,2024-05-22 13:50:44,2024-05-22 13:54:20,6,2,2024-05-22 13:54:33,KPI_DATA_build_20240522_130513.csv
130,2024-05-22 13:54:33,2024-05-22 13:54:50,1,0,2024-05-22 13:55:04,KPI_DATA_build_20240522_130513.csv
131,2024-05-22 13:55:04,2024-05-22 13:56:39,1,1,2024-05-22 13:56:52,KPI_DATA_build_20240522_130513.csv
132,2024-05-22 13:56:52,2024-05-22 13:58:43,4,1,2024-05-22 13:58:57,KPI_DATA_build_20240522_130513.csv
133,2024-05-22 13:58:57,2024-05-22 14:01:19,4,1,2024-05-22 14:01:32,KPI_DATA_build_20240522_130513.csv
134,2024-05-22 14:01:32,2024-05-22 14:02:02,1,0,2024-05-22 14:02:15,KPI_DATA_build_20240522_130513.csv
135,2024-05-22 14:02:15,2024-05-22 14:02:30,1,0,2024-05-22 14:02:43,KPI_DATA_build_20240522_130513.csv
136,2024-05-22 14:02:43,2024-05-22 14:04:55,3,1,2024-05-22 14:05:09,KPI_DATA_build_20240522_130513.csv
137,2024-05-22 14:05:09,2024-05-22 14:07:57,8,1,2024-05-22 14:08:11,KPI_DATA_build_20240522_130513.csv
138,2024-05-22 14:08:11,2024-05-22 14:08:38,2,0,2024-05-22 14:08:51,KPI_DATA_build_20240522_130513.csv
139,2024-05-22 14:08:51,2024-05-22 14:11:53,1,2,2024-05-22 14:12:07,KPI_DATA_build_20240522_130513.csv
140,2024-05-22 14:12:07,2024-05-22 14:12:23,1,0,2024-05-22 14:12:37,KPI_DATA_build_20240522_130513.csv
141,2024-05-22 14:12:37,2024-05-22 14:12:50,1,0,2024-05-22 14:13:04,KPI_DATA_build_20240522_130513.csv
